
Season,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK
,,,,,,,,,,,,
2023-24,42.5,89.2,12.8,35,17.8,22.7,10.6,32.9,43.5,26.7,7.4,5.2
2022-23,42,88.3,12.3,34.2,18.4,23.5,10.4,33,43.4,25.3,7.3,4.7
2021-22,40.6,88.1,12.4,35.2,16.9,21.9,10.3,34.1,44.5,24.6,7.6,4.7
2020-21,41.2,88.4,12.7,34.6,17,21.8,9.8,34.5,44.3,24.8,7.6,4.9
2019-20,40.9,88.8,12.2,34.1,17.9,23.1,10.1,34.8,44.8,24.4,7.6,4.9
2018-19,41.1,89.2,11.4,32,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5
2017-18,39.6,86.1,10.5,29,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8
2016-17,39,85.4,9.7,27,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7
2015-16,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5
2014-15,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22,7.7,4.8
2013-14,37.7,83,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22,7.7,4.7
2012-13,37.1,82,7.2,20,16.7,22.2,11.2,31,42.1,22.1,7.8,5.1
2011-12,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21,7.7,5.1
2010-11,37.2,81.2,6.5,18,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9
2009-10,37.7,81.7,6.4,18.1,18.6,24.5,11,30.8,41.7,21.2,7.2,4.9
2008-09,37.1,80.9,6.6,18.1,19.1,24.7,11,30.3,41.3,21,7.3,4.8
2007-08,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,7.3,4.7
2006-07,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6
2005-06,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,7.2,4.7
2004-05,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,7.5,4.9
2003-04,35,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1
2002-03,35.7,80.8,5.1,14.7,18.5,24.4,12,30.3,42.3,21.5,7.9,5
2001-02,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2
2000-01,35.7,80.6,4.8,13.7,18.6,24.9,12,30.5,42.5,21.8,7.8,5.3
1999-00,36.8,82.1,4.8,13.7,19,25.3,12.4,30.5,42.9,22.3,7.9,5.2
1998-99,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5
1997-98,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22,8.4,5.1
1996-97,36.1,79.3,6,16.8,18.7,25.3,12.7,28.4,41.1,22,8.2,4.9
1995-96,37,80.2,5.9,16,19.5,26.4,12.6,28.6,41.3,22.7,8,5.1
1994-95,38,81.5,5.5,15.3,19.9,27.1,13,28.5,41.6,23.4,8.3,5.2
1993-94,39.3,84.4,3.3,9.9,19.6,26.6,13.9,29.1,43,24.4,8.9,5.2
1992-93,40.7,86,3,9,20.9,27.7,13.8,29.3,43.1,24.7,8.6,5.2
1991-92,41.3,87.3,2.5,7.6,20.2,26.7,14.4,29.3,43.7,24.5,8.6,5.5
1990-91,41.4,87.2,2.3,7.1,21.3,27.9,14,29.3,43.3,24.7,8.6,5.3
1989-90,41.5,87.2,2.2,6.6,21.8,28.5,13.8,29.3,43.1,24.9,8.5,5.1
1988-89,42.5,89,2.1,6.6,22.1,28.8,14.5,29.4,43.9,25.6,9.1,5.3
1987-88,42.1,87.7,1.6,5,22.3,29.1,14.2,29.2,43.4,25.8,8.5,5.4
1986-87,42.6,88.8,1.4,4.7,23.2,30.5,14.7,29.3,44,26,8.6,5.5
1985-86,43.2,88.6,0.9,3.3,22.9,30.3,14.1,29.4,43.6,26,8.8,5.3
1984-85,43.8,89.1,0.9,3.1,22.4,29.4,14.3,29.2,43.5,26.3,8.5,5.3
1983-84,43.5,88.4,0.6,2.4,22.6,29.7,14.2,28.8,43,26.2,8.5,5.3
1982-83,43.5,89.7,0.5,2.3,20.9,28.3,14.8,29.6,44.5,25.9,8.9,5.6
1981-82,43.3,88.2,0.6,2.3,21.3,28.6,14.3,29.1,43.5,25.2,8.5,5.4
1980-81,43,88.4,0.5,2,21.7,28.9,14.5,28.9,43.5,25.5,9,5.3
1979-80,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3
1978-79,44.5,91.7,,,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4
1977-78,43.6,92.9,,,21.4,28.4,15,32.1,47.1,25,9.6,5.1
1976-77,42.8,92,,,20.8,27.7,15,32.1,47.1,23.9,9.4,5.1
1975-76,42.1,91.7,,,20.2,26.9,14.4,33,47.4,23,8.9,4.4
1974-75,41.7,91.1,,,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3
1973-74,43.1,93.9,,,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7
